Ewe/V,Capacity/mA.h
2.66E-02,1
2.82E-02,0.999858276
2.93E-02,0.999716553
3.01E-02,0.999574836
3.10E-02,0.999433114
3.16E-02,0.999291397
3.21E-02,0.999149683
3.28E-02,0.99900797
3.34E-02,0.998866257
3.41E-02,0.998724541
3.44E-02,0.998582839
3.49E-02,0.99844115
3.54E-02,0.998299458
3.58E-02,0.998157765
3.62E-02,0.998016076
3.67E-02,0.997874386
3.73E-02,0.997732692
3.77E-02,0.997590999
3.82E-02,0.997449308
3.87E-02,0.997307619
3.90E-02,0.997165934
3.95E-02,0.997024249
3.98E-02,0.996882561
4.04E-02,0.996740876
4.07E-02,0.996599189
4.11E-02,0.996457504
4.15E-02,0.996315816
4.19E-02,0.996174134
4.23E-02,0.996032453
4.27E-02,0.995890773
4.32E-02,0.995749089
4.34E-02,0.995607401
4.39E-02,0.995465708
4.43E-02,0.995324018
4.46E-02,0.995182328
4.50E-02,0.995040634
4.54E-02,0.994898938
4.59E-02,0.994757247
4.61E-02,0.994615563
4.65E-02,0.994473879
4.69E-02,0.994332193
4.74E-02,0.994190507
4.77E-02,0.994048809
4.80E-02,0.993907098
4.84E-02,0.993765385
4.88E-02,0.993623676
4.91E-02,0.993481966
4.94E-02,0.993340255
4.99E-02,0.993198545
5.02E-02,0.993056832
5.06E-02,0.992915115
5.08E-02,0.992773396
5.13E-02,0.992631684
5.15E-02,0.992489973
5.19E-02,0.992348261
5.23E-02,0.992206554
5.26E-02,0.992064846
5.30E-02,0.991923135
5.34E-02,0.991781424
5.36E-02,0.991639714
5.40E-02,0.991498003
5.42E-02,0.991356293
5.46E-02,0.991214583
5.50E-02,0.991072873
5.53E-02,0.990931162
5.56E-02,0.990789449
5.60E-02,0.990647734
5.63E-02,0.99050602
5.67E-02,0.990364307
5.70E-02,0.990222593
5.72E-02,0.990080883
5.75E-02,0.989939173
5.79E-02,0.989797463
5.82E-02,0.989655753
5.84E-02,0.989514042
5.87E-02,0.989372334
5.89E-02,0.989230626
5.94E-02,0.989088917
5.95E-02,0.98894721
5.99E-02,0.988805504
6.03E-02,0.988663796
6.06E-02,0.988522086
6.07E-02,0.988380377
6.09E-02,0.988238667
6.14E-02,0.988096958
6.17E-02,0.987955252
6.19E-02,0.987813543
6.23E-02,0.987671833
6.24E-02,0.987530124
6.28E-02,0.987388413
6.30E-02,0.9872467
6.34E-02,0.987104987
6.36E-02,0.986963276
6.38E-02,0.986821567
6.40E-02,0.986679858
6.43E-02,0.986538151
6.47E-02,0.986396451
6.50E-02,0.986254771
6.51E-02,0.986113089
6.55E-02,0.985971407
6.57E-02,0.985829727
6.59E-02,0.985688045
6.61E-02,0.985546365
