Ewe/V,Capacity/mA.h
1.28E+00,0
1.22E+00,0.000140037
1.20E+00,0.000280074
1.18E+00,0.000420108
1.16E+00,0.000560137
1.14E+00,0.000700165
1.13E+00,0.000840196
1.12E+00,0.000980226
1.11E+00,0.001120257
1.09E+00,0.001260294
1.08E+00,0.001400336
1.07E+00,0.00154038
1.06E+00,0.001680424
1.05E+00,0.00182047
1.05E+00,0.001960518
1.04E+00,0.002100569
1.03E+00,0.002240622
1.02E+00,0.002380676
1.01E+00,0.002520728
1.00E+00,0.002660778
9.97E-01,0.002800834
9.90E-01,0.002940898
9.83E-01,0.003080958
9.76E-01,0.003221019
9.70E-01,0.003361083
9.63E-01,0.003501149
9.57E-01,0.00364122
9.50E-01,0.003781288
9.44E-01,0.003921357
9.38E-01,0.00406142
9.32E-01,0.004201479
9.27E-01,0.004341535
9.21E-01,0.00448159
9.16E-01,0.004621647
9.10E-01,0.004761704
9.05E-01,0.004901762
9.00E-01,0.005041814
8.95E-01,0.005181869
8.90E-01,0.005321927
8.85E-01,0.005461987
8.81E-01,0.005602042
8.76E-01,0.005742097
8.72E-01,0.005882157
8.67E-01,0.006022217
8.63E-01,0.00616227
8.59E-01,0.006302317
8.55E-01,0.006442366
8.51E-01,0.006582418
8.47E-01,0.006722475
8.43E-01,0.006862533
8.39E-01,0.007002591
8.35E-01,0.007142651
8.32E-01,0.007282715
8.28E-01,0.007422783
8.24E-01,0.00756285
8.21E-01,0.007702917
8.17E-01,0.007842986
8.14E-01,0.007983057
8.11E-01,0.008123122
8.07E-01,0.008263188
8.04E-01,0.008403257
8.01E-01,0.008543331
7.98E-01,0.008683395
7.95E-01,0.008823459
7.92E-01,0.008963523
7.89E-01,0.009103584
7.86E-01,0.009243646
7.83E-01,0.009383708
7.80E-01,0.009523769
7.77E-01,0.009663832
7.74E-01,0.009803891
7.71E-01,0.00994395
7.69E-01,0.010084011
7.66E-01,0.010224075
7.63E-01,0.010364144
7.61E-01,0.010504215
7.58E-01,0.010644286
7.55E-01,0.010784358
7.53E-01,0.010924431
7.50E-01,0.011064503
7.48E-01,0.01120458
7.45E-01,0.011344653
7.43E-01,0.01148473
7.40E-01,0.011624814
7.38E-01,0.011764902
7.36E-01,0.01190499
7.34E-01,0.012045084
7.31E-01,0.012185178
7.29E-01,0.012325273
7.27E-01,0.012465366
7.24E-01,0.012605456
7.22E-01,0.012745546
7.20E-01,0.01288564
7.18E-01,0.013025734
7.16E-01,0.01316583
7.14E-01,0.013305925
7.12E-01,0.013446023
7.10E-01,0.01358612
